label,title,content,cleaned_text,text_length,word_count
1,Great CD,"My lovely Pat has one of the GREAT voices of her generation. I have listened to this CD for YEARS and I still LOVE IT. When I'm in a good mood it makes me feel better. A bad mood just evaporates like sugar in the rain. This CD just oozes LIFE. Vocals are jusat STUUNNING and lyrics just kill. One of life's hidden gems. This is a desert isle CD in my book. Why she never made it big is just beyond me. Everytime I play this, no matter black, white, young, old, male, female EVERYBODY says one thing ""Who was that singing ?""",my lovely pat has one of the great voices of her generation i have listened to this cd for years and i still love it when i m in a good mood it makes me feel better a bad mood just evaporates like sugar in the rain this cd just oozes life vocals are jusat stuunning and lyrics just kill one of life s hidden gems this is a desert isle cd in my book why she never made it big is just beyond me everytime i play this no matter black white young old male female everybody says one thing who was that singing,523,104
1,One of the best game music soundtracks - for a game I didn't really play,"Despite the fact that I have only played a small portion of the game, the music I heard (plus the connection to Chrono Trigger which was great as well) led me to purchase the soundtrack, and it remains one of my favorite albums. There is an incredible mix of fun, epic, and emotional songs. Those sad and beautiful tracks I especially like, as there's not too many of those kinds of songs in my other video game soundtracks. I must admit that one of the songs (Life-A Distant Promise) has brought tears to my eyes on many occasions.My one complaint about this soundtrack is that they use guitar fretting effects in many of the songs, which I find distracting. But even if those weren't included I would still consider the collection worth it.",despite the fact that i have only played a small portion of the game the music i heard plus the connection to chrono trigger which was great as well led me to purchase the soundtrack and it remains one of my favorite albums there is an incredible mix of fun epic and emotional songs those sad and beautiful tracks i especially like as there s not too many of those kinds of songs in my other video game soundtracks i must admit that one of the songs life a distant promise has brought tears to my eyes on many occasions my one complaint about this soundtrack is that they use guitar fretting effects in many of the songs which i find distracting but even if those weren t included i would still consider the collection worth it,742,133
0,Batteries died within a year ...,"I bought this charger in Jul 2003 and it worked OK for a while. The design is nice and convenient. However, after about a year, the batteries would not hold a charge. Might as well just get alkaline disposables, or look elsewhere for a charger that comes with batteries that have better staying power.",i bought this charger in jul and it worked ok for a while the design is nice and convenient however after about a year the batteries would not hold a charge might as well just get alkaline disposables or look elsewhere for a charger that comes with batteries that have better staying power,301,54
1,"works fine, but Maha Energy is better","Check out Maha Energy's website. Their Powerex MH-C204F charger works in 100 minutes for rapid charge, with option for slower charge (better for batteries). And they have 2200 mAh batteries.",check out maha energy s website their powerex mh c f charger works in minutes for rapid charge with option for slower charge better for batteries and they have mah batteries,190,30
1,Great for the non-audiophile,"Reviewed quite a bit of the combo players and was hesitant due to unfavorable reviews and size of machines. I am weaning off my VHS collection, but don't want to replace them with DVD's. This unit is well built, easy to setup and resolution and special effects (no progressive scan for HDTV owners) suitable for many people looking for a versatile product.Cons- No universal remote.",reviewed quite a bit of the combo players and was hesitant due to unfavorable reviews and size of machines i am weaning off my vhs collection but don t want to replace them with dvd s this unit is well built easy to setup and resolution and special effects no progressive scan for hdtv owners suitable for many people looking for a versatile product cons no universal remote,382,65
0,DVD Player crapped out after one year,"I also began having the incorrect disc problems that I've read about on here. The VCR still works, but hte DVD side is useless. I understand that DVD players sometimes just quit on you, but after not even one year? To me that's a sign on bad quality. I'm giving up JVC after this as well. I'm sticking to Sony or giving another brand a shot.",i also began having the incorrect disc problems that i ve read about on here the vcr still works but hte dvd side is useless i understand that dvd players sometimes just quit on you but after not even one year to me that s a sign on bad quality i m giving up jvc after this as well i m sticking to sony or giving another brand a shot,341,66
0,Incorrect Disc,"I love the style of this, but after a couple years, the DVD is giving me problems. It doesn't even work anymore and I use my broken PS2 Now. I wouldn't recommend this, I'm just going to upgrade to a recorder now. I wish it would work but I guess i'm giving up on JVC. I really did like this one... before it stopped working. The dvd player gave me problems probably after a year of having it.",i love the style of this but after a couple years the dvd is giving me problems it doesn t even work anymore and i use my broken ps now i wouldn t recommend this i m just going to upgrade to a recorder now i wish it would work but i guess i m giving up on jvc i really did like this one before it stopped working the dvd player gave me problems probably after a year of having it,392,78
0,DVD menu select problems,"I cannot scroll through a DVD menu that is set up vertically. The triangle keys will only select horizontally. So I cannot select anything on most DVD's besides play. No special features, no language select, nothing, just play.",i cannot scroll through a dvd menu that is set up vertically the triangle keys will only select horizontally so i cannot select anything on most dvd s besides play no special features no language select nothing just play,227,38
1,Unique Weird Orientalia from the 1930's,"Exotic tales of the Orient from the 1930's. ""Dr Shen Fu"", a Weird Tales magazine reprint, is about the elixir of life that grants immortality at a price. If you're tired of modern authors who all sound alike, this is the antidote for you. Owen's palette is loaded with splashes of Chinese and Japanese colours. Marvelous.",exotic tales of the orient from the s dr shen fu a weird tales magazine reprint is about the elixir of life that grants immortality at a price if you re tired of modern authors who all sound alike this is the antidote for you owen s palette is loaded with splashes of chinese and japanese colours marvelous,321,56
0,"Not an ""ultimate guide""","Firstly,I enjoyed the format and tone of the book (how the author addressed the reader). However, I did not feel that she imparted any insider secrets that the book promised to reveal. If you are just starting to research law school, and do not know all the requirements of admission, then this book may be a tremendous help. If you have done your homework and are looking for an edge when it comes to admissions, I recommend some more topic-specific books. For example, books on how to write your personal statment, books geared specifically towards LSAT preparation (Powerscore books were the most helpful for me), and there are some websites with great advice geared towards aiding the individuals whom you are asking to write letters of recommendation. Yet, for those new to the entire affair, this book can definitely clarify the requirements for you.",firstly i enjoyed the format and tone of the book how the author addressed the reader however i did not feel that she imparted any insider secrets that the book promised to reveal if you are just starting to research law school and do not know all the requirements of admission then this book may be a tremendous help if you have done your homework and are looking for an edge when it comes to admissions i recommend some more topic specific books for example books on how to write your personal statment books geared specifically towards lsat preparation powerscore books were the most helpful for me and there are some websites with great advice geared towards aiding the individuals whom you are asking to write letters of recommendation yet for those new to the entire affair this book can definitely clarify the requirements for you,856,144
